43;NIETO/CASTRO;47781739Q;MASCULINO;1.74;dovidas@rovira.cat
2;SMITH/;38329274E;FEMENINO;1.96;inglesito@yahoo.es
3;HERNANDEZ/LABRADOR;12974923K;MASCULINO;1.69;juanito@gmail.com
4;HERRERO/BERMUDEZ;33390034K;FEMENINO;1.79;aherrero14@usal.es
345;GONZALEZ/HERNANDEZ;70918149H;MASCULINO;1.75;manule_94@hotmail.com
6;BUENO/DEL BOSQUE;72364923T;NO_ESPECIFICADO;1.98;reikiavik@outlook.com
7;VICHO/DEL VIEJO;82323739B;FEMENINO;1.59;claudiavichodelviejo@usal.es
8;SANCHEZ/BORREGO;18764843A;MASCULINO;1.95;juanito2@gmail.com
9;GOMEZ/BENITO;12345678E;FEMENINO;1.43;agb@ibm.es
871;ROBLEDO/VENZON;98234878G;NO_ESPECIFICADO;1.49;filipinas@correo.es
12;REGUERA/PUERTAS;67813472V;MASCULINO;1.89;berlin_mola44@hotmail.com
989;MINA/TERRA GALLEGA;12314123F;MASCULINO;1.89;dondeel_cielo_esSiempre@gris.0000.com
649;DOÑA/ÑOCLA;23984723K;FEMENINO;1.9;pruebaConlaENNE@a_verSi.si.com
744;GARCIA/DELGADO;23489547L;NO_ESPECIFICADO;1.89;nuevoCorreo1@ioquese.es
162;HERNANDEZ/FERNANDEZ;23348930F;FEMENINO;1.98;vaya_altura.rara@usal.es
578;WU/SHU;34984987X;FEMENINO;1.51;directora_maja@miEmpresitaGuapa.es
731;BARRANQUERO/DIES;37654838H;FEMENINO;1.82;carlos@artelnics.com
614;FLACUCHO/TIRILLAS;14324324G;MASCULINO;1.34;soypequeho@hola.es
922;VICENTE/ULIO;23629387S;MASCULINO;1.98;abcd@efg.hi
123;HERNANDEZ/ROZAS;82354823T;FEMENINO;1.56;rohermay@correo.es
